Time_sec,Voltage1,Voltage2
0,0.195503421,0.205278592
0.542,0.175953079,0.200391007
0.676,0.166177908,0.205278592
0.758,0.161290323,0.342130987
0.849,0.156402737,0.268817204
0.992,0.161290323,0.312805474
1.053,0.161290323,0.268817204
1.108,0.166177908,0.239491691
1.161,0.166177908,0.307917889
1.212,0.166177908,0.263929619
1.277,0.166177908,0.244379277
1.335,0.175953079,0.278592375
1.391,0.171065494,0.259042033
1.442,0.171065494,0.234604106
1.491,0.18572825,0.239491691
1.545,0.180840665,0.224828935
1.598,0.180840665,0.219941349
1.654,0.171065494,0.219941349
1.704,0.166177908,0.22971652
1.761,0.166177908,0.22971652
1.815,0.175953079,0.215053763
1.865,0.175953079,0.22971652
1.914,0.175953079,0.219941349
1.966,0.180840665,0.22971652
2.02,0.171065494,0.219941349
2.072,0.166177908,0.234604106
2.127,0.166177908,0.215053763
2.18,0.166177908,0.205278592
2.232,0.166177908,0.200391007
2.283,0.161290323,0.205278592
2.336,0.156402737,0.210166178
2.387,0.161290323,0.205278592
2.432,0.161290323,0.205278592
2.483,0.171065494,0.224828935
2.535,0.156402737,0.219941349
2.589,0.166177908,0.215053763
2.642,0.166177908,0.200391007
2.692,0.171065494,0.205278592
2.743,0.175953079,0.195503421
2.795,0.171065494,0.205278592
2.847,0.171065494,0.200391007
2.9,0.161290323,0.205278592
2.95,0.166177908,0.210166178
3.002,0.161290323,0.200391007
3.051,0.156402737,0.205278592
3.102,0.161290323,0.200391007
3.158,0.151515152,0.200391007
3.206,0.166177908,0.210166178
3.253,0.166177908,0.205278592
3.301,0.166177908,0.200391007
3.354,0.175953079,0.215053763
3.405,0.171065494,0.205278592
3.454,0.161290323,0.200391007
3.503,0.166177908,0.195503421
3.555,0.161290323,0.195503421
3.605,0.171065494,0.190615836
3.654,0.195503421,0.195503421
3.706,0.224828935,0.205278592
3.756,0.224828935,0.200391007
3.814,0.224828935,0.205278592
3.868,0.234604106,0.210166178
3.924,0.22971652,0.200391007
3.981,0.244379277,0.200391007
4.035,0.259042033,0.200391007
4.088,0.27370479,0.195503421
4.141,0.27370479,0.195503421
4.19,0.249266862,0.205278592
4.24,0.244379277,0.205278592
4.288,0.22971652,0.210166178
4.333,0.219941349,0.205278592
4.388,0.205278592,0.195503421
4.439,0.195503421,0.195503421
4.485,0.195503421,0.205278592
4.532,0.190615836,0.200391007
4.58,0.200391007,0.190615836
4.632,0.180840665,0.195503421
4.686,0.180840665,0.195503421
4.751,0.171065494,0.205278592
4.804,0.175953079,0.224828935
4.853,0.180840665,0.215053763
4.903,0.190615836,0.205278592
4.953,0.18572825,0.205278592
5.002,0.190615836,0.210166178
6.064,0.195503421,0.195503421
6.242,0.175953079,0.200391007
6.352,0.215053763,0.195503421
6.434,0.259042033,0.205278592
6.485,0.288367546,0.210166178
6.537,0.27370479,0.195503421
6.594,0.263929619,0.205278592
6.651,0.249266862,0.205278592
6.704,0.239491691,0.205278592
6.764,0.224828935,0.205278592
6.816,0.210166178,0.200391007
6.866,0.200391007,0.210166178
6.922,0.200391007,0.205278592
6.976,0.205278592,0.210166178
7.038,0.205278592,0.210166178
7.091,0.190615836,0.215053763
7.151,0.18572825,0.205278592
7.201,0.18572825,0.200391007
7.251,0.18572825,0.205278592
7.298,0.200391007,0.219941349
7.347,0.200391007,0.215053763
7.398,0.210166178,0.210166178
7.455,0.210166178,0.210166178
7.508,0.219941349,0.219941349
7.557,0.224828935,0.200391007
7.607,0.219941349,0.200391007
7.658,0.205278592,0.200391007
7.713,0.18572825,0.200391007
7.766,0.190615836,0.205278592
7.827,0.195503421,0.200391007
7.904,0.180840665,0.205278592
7.967,0.180840665,0.205278592
8.017,0.175953079,0.210166178
8.064,0.190615836,0.210166178
8.114,0.190615836,0.200391007
8.172,0.215053763,0.205278592
8.22,0.210166178,0.200391007
8.269,0.215053763,0.195503421
8.314,0.205278592,0.210166178
8.361,0.205278592,0.205278592
8.414,0.190615836,0.205278592
8.461,0.195503421,0.200391007
8.511,0.171065494,0.205278592
8.56,0.171065494,0.200391007
8.61,0.161290323,0.234604106
8.663,0.171065494,0.22971652
8.712,0.161290323,0.215053763
8.896,0.166177908,0.215053763
8.969,0.161290323,0.239491691
9.017,0.166177908,0.215053763
9.101,0.175953079,0.22971652
9.151,0.161290323,0.215053763
9.231,0.175953079,0.239491691
