Time_sec,Voltage1,Voltage2
0,0,0
1.262,0,0
1.365,0,0
1.427,0,0
1.49,0,0
1.595,0,0
1.643,0,0
1.697,0,0
1.746,0,0
1.8,0,0
1.859,0,0
1.914,0,0
1.969,0,0
2.026,0,0
2.073,0,0
2.133,0,0
2.185,0,0
2.245,0,0
2.299,0,0
2.349,0,0
2.403,0,0
2.46,0,0
2.517,0,0
2.573,0,0
2.632,0,0
2.68,0,0
2.73,0,0
2.783,0,0
2.833,0,0
2.886,0,0
2.935,0,0
2.988,0,0
3.04,0,0
3.095,0,0
3.148,0,0
3.196,0,0
3.251,0,0
3.299,0,0
3.35,0,0
3.402,0,0
3.451,0,0
3.507,0,0
3.558,0,0
3.611,0,0
3.659,0,0
3.708,0,0
3.761,0,0
3.812,0,0
3.861,0,0
3.909,0,0
3.958,0,0
4.011,0,0
4.056,0,0
4.102,0,0
4.15,0,0
4.199,0,0
4.249,0,0
4.294,0,0
4.34,0,0
4.393,0,0
4.438,0,0
4.494,0,0
4.544,0,0
4.593,0,0
4.645,0,0
4.695,0,0
4.746,0,0
4.794,0,0
4.843,0,0
4.892,0,0
4.941,0,0
4.991,0,0
5.044,0,0
5.093,0,0
5.147,0,0
5.21,0,0
5.27,0,0
5.332,0,0
5.388,0,0
5.442,0,0
5.492,0,0
5.54,0,0
5.602,0,0
5.654,0,0
5.713,0,0
5.765,0,0
5.814,0,0
5.859,0,0
5.906,0,0
5.956,0,0
6.005,0,0
6.06,0,0
6.11,0,0
6.16,0,0
6.203,0,0
6.257,0,0
6.308,0,0
6.355,0,0
6.4,0,0
6.448,0,0
6.497,0,0
6.547,0,0
6.597,0,0
6.646,0,0
6.694,0,0
6.743,0,0
6.793,0,0
6.846,0,0
6.895,0,0
6.945,0,0
6.998,0,0
7.046,0,0
7.103,0,0
7.157,0,0
7.215,0,0
7.264,0,0
7.315,0,0
7.362,0,0
7.408,0,0
7.459,0,0
7.509,0,0
7.563,0,0
7.611,0,0
7.658,0,0
7.711,0,0
7.764,0,0
7.811,0,0
7.86,0,0
7.91,0,0
7.964,0,0
8.013,0,0
8.066,0,0
