Time_sec,Voltage1,Voltage2
0,0.092864125,0.342130987
1.527,0.102639296,0.444770283
1.657,0.092864125,0.464320626
1.733,0.08797654,0.518084066
1.807,0.092864125,0.483870968
1.926,0.097751711,0.332355816
1.983,0.092864125,0.376344086
2.037,0.14173998,0.376344086
2.097,0.175953079,0.439882698
2.154,0.122189638,0.425219941
2.208,0.112414467,0.439882698
2.265,0.097751711,0.420332356
2.332,0.08797654,0.327468231
2.385,0.092864125,0.288367546
2.45,0.08797654,0.205278592
2.511,0.136852395,0.254154448
2.569,0.122189638,0.234604106
2.635,0.102639296,0.278592375
2.691,0.097751711,0.31769306
2.75,0.122189638,0.307917889
2.81,0.097751711,0.239491691
2.868,0.092864125,0.244379277
2.93,0.102639296,0.259042033
2.99,0.131964809,0.22971652
3.102,0.092864125,0.205278592
3.279,0.08797654,0.478983382
3.435,0.083088954,0.420332356
3.494,0.083088954,0.342130987
3.56,0.083088954,0.322580645
3.615,0.083088954,0.312805474
3.671,0.083088954,0.239491691
3.723,0.083088954,0.195503421
3.777,0.08797654,0.136852395
3.835,0.08797654,0.122189638
3.905,0.083088954,0.117302053
3.965,0.08797654,0.117302053
4.032,0.083088954,0.112414467
4.085,0.083088954,0.122189638
4.141,0.083088954,0.127077224
4.208,0.083088954,0.102639296
4.264,0.083088954,0.122189638
4.325,0.083088954,0.107526882
4.378,0.083088954,0.097751711
4.428,0.083088954,0.097751711
4.568,0.08797654,0.083088954
4.625,0.083088954,0.083088954
4.722,0.08797654,0.073313783
4.827,0.102639296,0.078201369
4.924,0.08797654,0.083088954
4.977,0.08797654,0.083088954
5.034,0.08797654,0.08797654
5.087,0.08797654,0.078201369
5.136,0.08797654,0.092864125
5.19,0.083088954,0.08797654
5.249,0.08797654,0.078201369
5.308,0.08797654,0.08797654
5.365,0.097751711,0.078201369
5.415,0.08797654,0.078201369
5.468,0.08797654,0.078201369
5.522,0.08797654,0.078201369
5.574,0.08797654,0.08797654
5.628,0.08797654,0.08797654
5.687,0.097751711,0.078201369
5.753,0.092864125,0.078201369
5.82,0.097751711,0.073313783
5.87,0.092864125,0.092864125
5.922,0.092864125,0.092864125
5.98,0.092864125,0.083088954
6.038,0.08797654,0.083088954
6.09,0.092864125,0.08797654
6.15,0.131964809,0.092864125
6.206,0.117302053,0.107526882
6.254,0.136852395,0.102639296
6.309,0.117302053,0.102639296
6.365,0.102639296,0.107526882
6.415,0.112414467,0.117302053
6.468,0.097751711,0.122189638
6.526,0.127077224,0.131964809
6.583,0.107526882,0.107526882
6.639,0.097751711,0.102639296
6.697,0.117302053,0.097751711
6.747,0.14173998,0.102639296
6.8,0.112414467,0.102639296
6.858,0.102639296,0.107526882
6.918,0.107526882,0.107526882
6.981,0.151515152,0.08797654
7.033,0.112414467,0.08797654
7.082,0.102639296,0.08797654
7.148,0.092864125,0.097751711
7.209,0.092864125,0.097751711
7.259,0.08797654,0.08797654
7.308,0.08797654,0.092864125
7.366,0.08797654,0.08797654
7.414,0.112414467,0.092864125
7.468,0.107526882,0.097751711
7.524,0.097751711,0.107526882
7.575,0.092864125,0.102639296
7.626,0.08797654,0.092864125
7.676,0.097751711,0.083088954
7.734,0.092864125,0.092864125
7.792,0.112414467,0.092864125
7.847,0.112414467,0.112414467
7.906,0.136852395,0.107526882
7.963,0.107526882,0.097751711
8.014,0.117302053,0.102639296
8.061,0.102639296,0.092864125
8.11,0.127077224,0.08797654
8.169,0.107526882,0.08797654
8.224,0.127077224,0.092864125
8.275,0.102639296,0.078201369
8.327,0.092864125,0.083088954
8.389,0.107526882,0.083088954
8.437,0.112414467,0.083088954
8.496,0.102639296,0.092864125
8.58,0.097751711,0.08797654
8.647,0.107526882,0.08797654
8.713,0.092864125,0.083088954
8.769,0.112414467,0.078201369
8.827,0.097751711,0.08797654
8.877,0.092864125,0.08797654
8.934,0.08797654,0.08797654
8.99,0.136852395,0.08797654
9.053,0.107526882,0.083088954
9.11,0.092864125,0.092864125
9.167,0.08797654,0.083088954
9.224,0.107526882,0.083088954
9.276,0.092864125,0.083088954
9.33,0.08797654,0.102639296
9.387,0.08797654,0.08797654
9.443,0.08797654,0.08797654
9.498,0.08797654,0.078201369
9.548,0.08797654,0.083088954
9.597,0.08797654,0.083088954
9.646,0.131964809,0.078201369
9.707,0.102639296,0.083088954
9.766,0.097751711,0.083088954
