Time_sec,Voltage1,Voltage2
0,0.102639296,0.136852395
1.554,0.083088954,0.112414467
1.707,0.083088954,0.122189638
1.781,0.083088954,0.131964809
1.858,0.083088954,0.127077224
1.984,0.083088954,0.131964809
2.045,0.083088954,0.117302053
2.095,0.083088954,0.097751711
2.149,0.083088954,0.102639296
2.207,0.083088954,0.102639296
2.267,0.083088954,0.112414467
2.321,0.083088954,0.127077224
2.382,0.083088954,0.127077224
2.436,0.083088954,0.131964809
2.489,0.083088954,0.122189638
2.546,0.083088954,0.131964809
2.605,0.083088954,0.122189638
2.66,0.08797654,0.112414467
2.721,0.08797654,0.112414467
2.784,0.083088954,0.107526882
2.837,0.083088954,0.112414467
2.89,0.083088954,0.102639296
2.94,0.083088954,0.102639296
2.999,0.083088954,0.112414467
3.049,0.083088954,0.112414467
3.098,0.083088954,0.107526882
3.152,0.083088954,0.102639296
3.219,0.083088954,0.112414467
3.27,0.083088954,0.102639296
3.327,0.083088954,0.117302053
3.381,0.083088954,0.102639296
3.437,0.083088954,0.127077224
3.493,0.083088954,0.112414467
3.554,0.083088954,0.131964809
3.602,0.08797654,0.131964809
3.652,0.08797654,0.151515152
3.701,0.08797654,0.122189638
3.751,0.08797654,0.112414467
3.8,0.097751711,0.107526882
3.847,0.107526882,0.112414467
3.913,0.117302053,0.097751711
3.975,0.146627566,0.102639296
4.028,0.307917889,0.166177908
4.078,0.728250244,0.307917889
4.127,1.783968719,0.434995112
4.18,3.778103617,0.562072336
4.233,4.780058651,0.703812317
4.282,4.780058651,0.835777126
4.331,4.780058651,0.860215054
4.381,4.780058651,0.840664712
4.436,4.780058651,0.698924731
4.491,4.780058651,0.518084066
4.544,3.479960899,0.298142717
4.597,2.292277615,0.210166178
4.647,1.436950147,0.166177908
4.696,0.928641251,0.14173998
4.75,0.703812317,0.127077224
4.799,0.698924731,0.107526882
4.847,0.7771261,0.097751711
4.901,0.894428152,0.102639296
4.958,0.96285435,0.097751711
5.016,0.943304008,0.102639296
5.081,0.87487781,0.112414467
5.136,0.796676442,0.102639296
5.193,0.826001955,0.102639296
5.24,0.967741935,0.107526882
5.291,1.085043988,0.117302053
5.342,1.309872923,0.166177908
5.394,1.568914956,0.200391007
5.45,1.749755621,0.244379277
5.503,1.73998045,0.263929619
5.565,1.568914956,0.239491691
5.626,1.348973607,0.219941349
