Time_sec,Voltage1,Voltage2
0,0.146627566,0.08797654
1.815,0.117302053,0.083088954
2.1,0.136852395,0.083088954
2.176,0.175953079,0.083088954
2.262,0.180840665,0.083088954
2.372,0.146627566,0.083088954
2.425,0.14173998,0.08797654
2.475,0.127077224,0.083088954
2.539,0.112414467,0.083088954
2.594,0.097751711,0.083088954
2.652,0.102639296,0.08797654
2.704,0.102639296,0.083088954
2.757,0.097751711,0.083088954
2.806,0.097751711,0.08797654
2.865,0.092864125,0.083088954
2.926,0.083088954,0.083088954
2.975,0.078201369,0.08797654
3.032,0.078201369,0.083088954
3.091,0.083088954,0.08797654
3.156,0.102639296,0.08797654
3.236,0.107526882,0.083088954
3.29,0.112414467,0.083088954
3.34,0.112414467,0.083088954
3.399,0.117302053,0.083088954
3.475,0.102639296,0.08797654
3.536,0.097751711,0.08797654
3.589,0.08797654,0.08797654
3.651,0.097751711,0.08797654
3.715,0.097751711,0.08797654
3.783,0.102639296,0.083088954
3.838,0.092864125,0.08797654
3.893,0.092864125,0.08797654
3.946,0.092864125,0.083088954
3.995,0.078201369,0.083088954
4.041,0.073313783,0.083088954
4.089,0.068426197,0.083088954
4.137,0.063538612,0.083088954
4.187,0.063538612,0.083088954
4.236,0.063538612,0.083088954
4.289,0.068426197,0.083088954
4.338,0.063538612,0.083088954
4.389,0.068426197,0.083088954
4.436,0.063538612,0.08797654
4.486,0.073313783,0.08797654
4.535,0.073313783,0.08797654
4.585,0.073313783,0.083088954
4.646,0.078201369,0.083088954
4.7,0.073313783,0.08797654
4.748,0.068426197,0.083088954
4.797,0.068426197,0.08797654
4.859,0.068426197,0.083088954
4.912,0.073313783,0.083088954
4.956,0.083088954,0.08797654
5.002,0.083088954,0.083088954
5.051,0.08797654,0.083088954
5.101,0.092864125,0.083088954
5.15,0.092864125,0.083088954
5.198,0.097751711,0.083088954
5.247,0.097751711,0.083088954
5.296,0.107526882,0.083088954
5.352,0.127077224,0.083088954
5.409,0.136852395,0.083088954
5.473,0.136852395,0.083088954
5.536,0.131964809,0.083088954
5.644,0.127077224,0.083088954
5.699,0.131964809,0.083088954
5.748,0.127077224,0.083088954
5.872,0.131964809,0.083088954
5.956,0.117302053,0.083088954
6.017,0.107526882,0.083088954
6.066,0.107526882,0.083088954
6.113,0.112414467,0.083088954
6.161,0.122189638,0.083088954
6.212,0.117302053,0.083088954
6.265,0.107526882,0.08797654
6.366,0.102639296,0.083088954
6.419,0.097751711,0.08797654
6.534,0.078201369,0.083088954
6.616,0.073313783,0.08797654
6.701,0.068426197,0.083088954
6.751,0.068426197,0.083088954
6.802,0.073313783,0.083088954
6.858,0.073313783,0.083088954
6.911,0.073313783,0.083088954
6.961,0.078201369,0.083088954
7.014,0.078201369,0.083088954
7.066,0.083088954,0.083088954
7.117,0.092864125,0.083088954
7.165,0.097751711,0.083088954
7.213,0.08797654,0.083088954
7.263,0.092864125,0.083088954
7.317,0.092864125,0.083088954
7.369,0.097751711,0.083088954
7.418,0.092864125,0.092864125
7.468,0.08797654,0.097751711
7.525,0.083088954,0.122189638
7.581,0.078201369,0.190615836
7.628,0.08797654,0.342130987
7.686,0.08797654,0.425219941
7.734,0.097751711,0.601173021
7.798,0.117302053,0.786901271
7.856,0.117302053,0.718475073
7.907,0.117302053,0.610948192
7.961,0.107526882,0.674486804
8.013,0.107526882,0.542521994
8.067,0.107526882,0.64516129
8.127,0.097751711,0.469208211
8.176,0.08797654,0.620723363
8.226,0.08797654,0.581622678
8.279,0.078201369,0.591397849
8.34,0.073313783,0.488758553
8.402,0.078201369,0.449657869
8.451,0.092864125,0.464320626
8.548,0.342130987,0.351906158
8.603,0.224828935,0.400782014
8.655,0.210166178,0.41544477
8.706,0.180840665,0.444770283
8.759,0.18572825,0.351906158
8.829,0.18572825,0.351906158
8.885,0.18572825,0.566959922
8.933,0.200391007,0.576735093
8.98,0.161290323,0.464320626
9.029,0.156402737,0.469208211
9.077,0.14173998,0.3714565
9.127,0.136852395,0.337243402
9.177,0.127077224,0.347018573
9.226,0.122189638,0.303030303
9.274,0.112414467,0.312805474
9.324,0.102639296,0.327468231
9.393,0.083088954,0.283479961
9.511,0.08797654,0.263929619
9.566,0.08797654,0.205278592
9.619,0.08797654,0.171065494
9.706,0.078201369,0.136852395
9.79,0.073313783,0.22971652
9.873,0.083088954,0.278592375
9.923,0.078201369,0.195503421
9.97,0.073313783,0.180840665
10.019,0.073313783,0.175953079
10.073,0.073313783,0.200391007
10.121,0.073313783,0.283479961
10.182,0.068426197,0.268817204
10.237,0.068426197,0.190615836
10.287,0.068426197,0.200391007
10.339,0.068426197,0.219941349
10.393,0.073313783,0.268817204
10.466,0.078201369,0.288367546
10.515,0.083088954,0.234604106
10.564,0.08797654,0.268817204
10.619,0.092864125,0.303030303
10.667,0.102639296,0.224828935
10.717,0.107526882,0.224828935
10.765,0.107526882,0.22971652
10.814,0.127077224,0.210166178
10.864,0.122189638,0.224828935
10.912,0.136852395,0.259042033
10.961,0.136852395,0.278592375
11.014,0.122189638,0.322580645
11.064,0.102639296,0.434995112
11.118,0.112414467,0.41544477
11.167,0.102639296,0.606060606
11.216,0.14173998,0.542521994
11.266,0.283479961,0.571847507
11.319,0.376344086,0.738025415
11.383,0.268817204,0.718475073
11.428,0.224828935,0.664711632
11.478,0.175953079,0.625610948
11.534,0.127077224,0.50342131
11.588,0.146627566,0.73313783
11.641,0.117302053,1.691104594
11.691,0.303030303,1.358748778
11.736,0.244379277,1.867057674
11.785,0.200391007,1.407624633
11.834,0.166177908,1.304985337
11.884,0.122189638,0.967741935
11.932,0.117302053,1.124144673
11.983,0.117302053,1.329423265
12.041,0.092864125,1.69599218
12.092,0.08797654,1.031280547
12.142,0.08797654,1.124144673
12.19,0.08797654,0.73313783
12.245,0.083088954,1.1485826
12.293,0.078201369,0.806451613
12.341,0.078201369,0.82111437
12.388,0.092864125,0.884652981
12.44,0.092864125,0.679374389
12.494,0.097751711,0.498533724
12.547,0.08797654,0.566959922
12.595,0.083088954,0.513196481
12.649,0.078201369,0.508308895
12.703,0.073313783,0.386119257
12.756,0.083088954,0.420332356
12.804,0.083088954,0.405669599
12.85,0.078201369,0.45943304
12.903,0.083088954,0.469208211
12.955,0.083088954,0.347018573
13.006,0.073313783,0.263929619
13.058,0.068426197,0.293255132
13.108,0.068426197,0.215053763
13.154,0.068426197,0.268817204
13.206,0.063538612,0.283479961
13.257,0.063538612,0.244379277
13.316,0.063538612,0.205278592
13.375,0.068426197,0.293255132
13.427,0.068426197,0.347018573
13.485,0.068426197,0.27370479
13.539,0.063538612,0.283479961
13.594,0.063538612,0.322580645
13.649,0.068426197,0.293255132
13.698,0.063538612,0.337243402
13.75,0.068426197,0.347018573
13.806,0.063538612,0.332355816
13.858,0.063538612,0.283479961
13.906,0.063538612,0.3714565
13.964,0.063538612,0.254154448
14.017,0.063538612,0.254154448
14.07,0.063538612,0.268817204
14.121,0.063538612,0.249266862
14.172,0.058651026,0.215053763
14.223,0.063538612,0.224828935
14.276,0.063538612,0.283479961
14.329,0.063538612,0.259042033
14.381,0.063538612,0.263929619
14.43,0.063538612,0.239491691
14.476,0.063538612,0.268817204
14.525,0.063538612,0.22971652
14.578,0.063538612,0.312805474
14.624,0.063538612,0.210166178
14.677,0.063538612,0.224828935
14.727,0.068426197,0.224828935
14.775,0.078201369,0.263929619
