Time_sec,Voltage1,Voltage2
0,0.640273705,0.249266862
1.521,0.703812317,0.254154448
1.737,0.650048876,0.224828935
1.811,0.659824047,0.219941349
1.881,0.757575758,0.22971652
1.995,0.762463343,0.22971652
2.057,0.552297165,0.22971652
2.114,0.488758553,0.234604106
2.172,0.454545455,0.254154448
2.236,0.366568915,0.22971652
2.299,0.420332356,0.22971652
2.352,0.449657869,0.224828935
2.41,0.527859238,0.22971652
2.466,0.410557185,0.244379277
2.523,0.469208211,0.259042033
2.585,0.410557185,0.259042033
2.647,0.386119257,0.27370479
2.705,0.498533724,0.249266862
2.769,0.493646139,0.254154448
2.824,0.444770283,0.239491691
2.884,0.474095797,0.259042033
2.942,0.50342131,0.239491691
3,0.425219941,0.234604106
3.062,0.518084066,0.234604106
3.123,0.493646139,0.210166178
3.186,0.444770283,0.244379277
3.24,0.454545455,0.263929619
3.302,0.464320626,0.249266862
3.355,0.474095797,0.254154448
3.448,0.45943304,0.254154448
3.516,0.454545455,0.249266862
3.575,0.532746823,0.263929619
3.635,0.542521994,0.27370479
3.687,0.469208211,0.239491691
3.741,0.513196481,0.219941349
3.797,0.41544477,0.215053763
3.856,0.425219941,0.210166178
4.064,0.444770283,0.219941349
4.116,0.54740958,0.259042033
4.207,0.430107527,0.244379277
4.313,0.400782014,0.215053763
4.401,0.351906158,0.219941349
4.459,0.386119257,0.205278592
4.512,0.449657869,0.249266862
4.572,0.386119257,0.22971652
4.633,0.366568915,0.249266862
4.7,0.425219941,0.22971652
4.77,0.439882698,0.224828935
4.834,0.562072336,0.219941349
4.896,0.439882698,0.210166178
4.953,0.464320626,0.224828935
5.01,0.439882698,0.249266862
5.07,0.478983382,0.239491691
5.132,0.439882698,0.239491691
5.182,0.508308895,0.234604106
5.239,0.439882698,0.210166178
5.296,0.474095797,0.254154448
5.358,0.444770283,0.219941349
5.436,0.474095797,0.210166178
5.493,0.469208211,0.224828935
5.547,0.527859238,0.210166178
5.604,0.522971652,0.219941349
5.663,0.483870968,0.224828935
5.722,0.366568915,0.215053763
5.781,0.439882698,0.234604106
5.836,0.527859238,0.224828935
5.894,0.571847507,0.219941349
5.951,0.454545455,0.224828935
6.013,0.522971652,0.200391007
6.062,0.454545455,0.200391007
6.114,0.439882698,0.200391007
6.165,0.391006843,0.200391007
6.213,0.298142717,0.205278592
6.263,0.351906158,0.215053763
6.312,0.376344086,0.215053763
6.357,0.395894428,0.219941349
6.406,0.386119257,0.219941349
6.456,0.454545455,0.215053763
6.509,0.493646139,0.22971652
6.565,0.474095797,0.22971652
6.614,0.400782014,0.215053763
6.669,0.449657869,0.210166178
6.733,0.439882698,0.219941349
6.784,0.395894428,0.195503421
6.842,0.381231672,0.190615836
6.89,0.434995112,0.195503421
6.947,0.474095797,0.205278592
6.996,0.376344086,0.200391007
7.046,0.381231672,0.219941349
7.094,0.400782014,0.210166178
7.146,0.386119257,0.210166178
7.202,0.420332356,0.200391007
7.287,0.410557185,0.219941349
7.348,0.347018573,0.210166178
7.397,0.395894428,0.215053763
7.446,0.381231672,0.219941349
7.499,0.3714565,0.205278592
7.549,0.381231672,0.200391007
7.603,0.41544477,0.210166178
7.735,0.3714565,0.205278592
7.8,0.395894428,0.200391007
7.891,0.347018573,0.210166178
7.979,0.381231672,0.205278592
8.035,0.449657869,0.219941349
8.109,0.386119257,0.215053763
8.237,0.41544477,0.210166178
8.295,0.444770283,0.215053763
8.348,0.405669599,0.219941349
8.402,0.376344086,0.195503421
8.458,0.395894428,0.200391007
8.513,0.410557185,0.215053763
8.578,0.478983382,0.200391007
8.641,0.391006843,0.180840665
8.698,0.381231672,0.195503421
8.748,0.430107527,0.195503421
8.806,0.454545455,0.200391007
8.856,0.400782014,0.195503421
8.912,0.342130987,0.210166178
8.971,0.366568915,0.210166178
9.025,0.3714565,0.190615836
9.077,0.395894428,0.224828935
9.125,0.361681329,0.210166178
9.178,0.3714565,0.234604106
9.227,0.351906158,0.215053763
9.278,0.376344086,0.195503421
9.335,0.400782014,0.195503421
9.385,0.322580645,0.190615836
