Time_sec,Voltage1,Voltage2
0,0.50342131,0.117302053
1.391,0.630498534,0.161290323
1.498,0.464320626,0.131964809
1.565,0.474095797,0.131964809
1.627,0.434995112,0.127077224
1.736,0.420332356,0.131964809
1.799,0.400782014,0.131964809
1.865,0.498533724,0.117302053
1.916,0.430107527,0.122189638
1.971,0.498533724,0.127077224
2.032,0.391006843,0.136852395
2.085,0.430107527,0.131964809
2.137,0.395894428,0.146627566
2.187,0.366568915,0.131964809
2.241,0.425219941,0.131964809
2.289,0.3714565,0.122189638
2.342,0.386119257,0.122189638
2.394,0.386119257,0.122189638
2.445,0.381231672,0.127077224
2.493,0.45943304,0.14173998
2.549,0.513196481,0.136852395
2.605,0.400782014,0.117302053
2.658,0.347018573,0.117302053
2.712,0.41544477,0.131964809
2.774,0.347018573,0.131964809
2.826,0.444770283,0.136852395
2.883,0.566959922,0.14173998
2.932,0.45943304,0.136852395
2.985,0.527859238,0.127077224
3.035,0.41544477,0.127077224
3.085,0.493646139,0.131964809
3.139,0.391006843,0.131964809
3.189,0.41544477,0.117302053
3.243,0.376344086,0.136852395
3.292,0.41544477,0.127077224
3.341,0.469208211,0.14173998
3.408,0.469208211,0.136852395
3.456,0.395894428,0.131964809
3.507,0.464320626,0.14173998
3.559,0.50342131,0.14173998
3.608,0.430107527,0.136852395
3.657,0.410557185,0.14173998
3.711,0.425219941,0.131964809
3.759,0.45943304,0.127077224
3.809,0.493646139,0.136852395
3.858,0.3714565,0.14173998
3.908,0.50342131,0.146627566
3.961,0.434995112,0.146627566
4.018,0.474095797,0.136852395
4.066,0.430107527,0.127077224
4.117,0.366568915,0.127077224
4.165,0.386119257,0.117302053
4.223,0.347018573,0.107526882
4.268,0.430107527,0.107526882
4.317,0.508308895,0.107526882
4.365,0.45943304,0.107526882
4.415,0.430107527,0.131964809
4.465,0.410557185,0.122189638
4.513,0.386119257,0.122189638
4.562,0.327468231,0.136852395
4.607,0.288367546,0.127077224
4.654,0.361681329,0.122189638
4.705,0.332355816,0.122189638
4.755,0.337243402,0.122189638
4.804,0.307917889,0.112414467
4.854,0.366568915,0.112414467
4.902,0.508308895,0.122189638
