Time_sec,Voltage1,Voltage2
0,0.117302053,0.347018573
1.286,0.117302053,0.244379277
1.397,0.117302053,0.254154448
1.465,0.112414467,0.263929619
1.526,0.112414467,0.200391007
1.636,0.117302053,0.146627566
1.689,0.112414467,0.136852395
1.738,0.112414467,0.161290323
1.789,0.117302053,0.156402737
1.837,0.122189638,0.156402737
1.895,0.127077224,0.14173998
1.953,0.122189638,0.14173998
2.001,0.127077224,0.136852395
2.05,0.127077224,0.166177908
2.108,0.131964809,0.161290323
2.156,0.112414467,0.161290323
2.214,0.249266862,0.175953079
2.271,0.606060606,0.200391007
2.336,0.904203324,0.190615836
2.39,0.96285435,0.210166178
2.549,0.322580645,0.449657869
2.665,0.444770283,0.713587488
2.823,0.772238514,0.738025415
2.927,0.791788856,0.654936461
3.029,0.674486804,0.527859238
3.084,0.542521994,0.474095797
3.139,0.386119257,0.386119257
3.188,0.268817204,0.464320626
3.241,0.195503421,0.41544477
3.29,0.156402737,0.430107527
3.34,0.14173998,0.381231672
3.394,0.131964809,0.356793744
3.443,0.127077224,0.307917889
3.504,0.107526882,0.288367546
3.553,0.107526882,0.50342131
3.606,0.127077224,0.356793744
3.664,0.166177908,0.3714565
3.721,0.205278592,0.351906158
3.77,0.239491691,0.400782014
3.825,0.27370479,0.386119257
3.881,0.263929619,0.410557185
3.933,0.239491691,0.347018573
3.983,0.219941349,0.381231672
4.033,0.18572825,0.361681329
4.081,0.171065494,0.356793744
4.13,0.14173998,0.366568915
4.184,0.131964809,0.351906158
4.233,0.122189638,0.283479961
4.285,0.117302053,0.31769306
4.34,0.107526882,0.303030303
4.402,0.097751711,0.312805474
4.457,0.102639296,0.224828935
4.512,0.102639296,0.254154448
4.569,0.107526882,0.224828935
4.625,0.102639296,0.22971652
4.677,0.102639296,0.22971652
4.728,0.102639296,0.234604106
4.779,0.102639296,0.244379277
4.829,0.102639296,0.210166178
4.88,0.097751711,0.215053763
4.934,0.097751711,0.244379277
4.983,0.097751711,0.254154448
5.039,0.092864125,0.254154448
5.097,0.097751711,0.298142717
5.155,0.097751711,0.254154448
5.203,0.097751711,0.215053763
5.255,0.097751711,0.224828935
5.302,0.097751711,0.18572825
5.351,0.097751711,0.239491691
